x,y
-21.060102286616548,-4.029240643957646
-21.414096396454998,-3.676128719861904
-21.77176596478582,-3.3267729497300476
-22.173731870904945,-3.0421581649921388
-22.670329185558106,-3.0002339099097726
-23.170323653715716,-2.9985123442937973
-23.67032364522264,-2.998443493364025
-24.170323645209447,-2.9984406271436423
-24.670323645191782,-2.9984373025808315
-25.170323634605708,-2.998356732360074
-25.670316577681888,-2.9963174596894473
-26.16585163960147,-2.9460809471931744
-26.559475914551438,-2.645988002689806
-26.91633066645002,-2.295774777302293
-27.27162163822579,-1.9439703927255199
-27.640218486516552,-1.6067206439478399
-28.10431782921326,-1.4593870710554968
-28.60424361802176,-1.4525522289057116
-29.10424344436933,-1.452253944468271
-29.60424344403068,-1.452241205829913
-30.10424344403008,-1.452240868271893
-30.60424344398011,-1.4522459396714857
-31.104243412317718,-1.4523717556628517
-31.604223851219064,-1.4554512026304582
-32.09462067864887,-1.5244974516276861
-32.528685550193345,-1.766492313631774
-32.9466465996463,-2.0358826088028916
-33.33469127520755,-2.350852352289287
-33.80643093996283,-2.4769632337113183
-34.30637239472621,-2.482800053492251
-34.806372306702514,-2.483030909596754
-35.30637230656178,-2.4830336945877276
-35.806372263505395,-2.4828747278020775
-36.30634378228004,-2.478862575549571
-36.79074194043286,-2.386594320247371
-37.25569178496464,-2.215925067867198
-37.63022396374555,-1.8855158405116967
-37.98511573399481,-1.533317629046373
-38.331526808157676,-1.172847422772564
-38.563965669335104,-0.7440754804498838
-38.582727218214195,-0.24466873480272627
-38.578892890004646,0.2552996315666141
-38.47272582943028,0.7362148962601881
-38.317115711685645,1.2069038727959962
-38.05917959887709,1.6307367265383548
-37.71281603252374,1.9912142307159368
-37.34684954924919,2.3314411253091425
-36.88711248286697,2.4902160485704234
-36.3872610097449,2.4987799568983524
-35.88726128617382,2.499138332800714
-35.38726131470668,2.4990283722931825
-34.88728017776562,2.49592595932722
-34.39738765840932,2.424617966470679
-33.91291122679061,2.330806380885572
-33.413516290625864,2.310508075601581
-32.93803256126081,2.173785908697563
-32.43867929281019,2.1549896754785722
-31.940578693671448,2.122139500642914
-31.464186016286266,1.9935385582400016
-30.964549553869645,1.97606337465602
-30.487715294001863,1.8513628685803338
-29.99008665221366,1.813528495244172
-29.490090261042457,1.8120263880247898
-28.990090268857667,1.8119622300866367
-28.490090268873352,1.8119594769838077
-27.99009026887338,1.8119593610585185
-27.49009026887338,1.8119593562480174
-26.99009026887338,1.8119593560507046
-26.49009026887338,1.8119593560426877
-25.99009026887338,1.8119593560423646
-25.49009026887338,1.8119593560423517
-24.99009026887338,1.811959356042351
-24.49009026887338,1.811959356042351
-23.99009026887338,1.811959356042351
-23.49009026887338,1.811959356042351
-22.99009026887338,1.811959356042351
-22.49009026887338,1.8119593565426058
-21.990090268873388,1.811959413976497
-21.49009026887858,1.811961030398667
-20.990090272128143,1.8120009265928612
-20.4900922419024,1.8129712532122415
-19.99120941491249,1.8360699935209144
-19.533503809659724,2.0257344164781435
-19.1543373104311,2.349478466580091
-18.80299896847015,2.7051648228448673
-18.523704730479192,3.1099142998714884
-18.48490630437005,3.6068981667343176
-18.486354518430012,4.106877555461841
-18.554636968317208,4.597485431485844
-18.80382090378626,5.027020083276265
-19.145114111305823,5.39211722555253
-19.497564925743,5.746767487054678
-19.851043228187784,6.10039592175022
-20.204929956544916,6.453615528354752
-20.562050406387456,6.803543186086345
-20.95825053239634,7.0995153263860775
-21.42529909418145,7.268687157231107
-21.921792831722264,7.322683199651534
-22.39685788526558,7.461133839605209
-22.89564700187127,7.491839630571376
-23.37144525386452,7.624174130773068
-23.868216512523126,7.676235446106057
-24.343318330297198,7.8135953889902945
-24.83983739433208,7.867622027405071
-25.31632262017473,7.993863749225095
-25.800988724179923,8.090661076929045
-26.2898676508678,8.168182414398597
-26.780894111516673,8.237346065069177
-27.263456317745128,8.341735620916745
-27.74215546611605,8.460086544320752
-28.237121224712595,8.51391917716137
-28.72206077923493,8.60677168141371
-29.210589610619415,8.689612994574194
-29.68661608697607,8.81949871866989
-30.183383910259483,8.87156983350436
-30.658584993509425,9.009448611804803
