x,y
-21.060102286616548,-4.029240643957646
-21.560102286616548,-3.8816422721166326
-22.35529903542085,-4.000178521385433
-22.72969900329022,-4.255478753941946
-22.7296990023589,-4.813602973009341
-22.380986712738572,-5.35503167016633
-21.87939657490577,-5.7966673081733004
-21.447238452388607,-5.923557945536466
-21.060832120134197,-5.900205214517207
-20.71827036573615,-5.747240643957646
-20.218270354094617,-5.747240643957646
-19.423073626710735,-5.747240643957646
-18.945166169701334,-5.693904527042431
-18.826702286616552,-5.242973874067528
-18.92942140468692,-4.785521525887277
